"Nível 1","Nível 2","Nível 3","Nível 4","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Floresta","","","","609272912.1477314","606155854.3230935","601956975.1641278","598548573.2302593","595382532.0265416","592730697.2354281","589771330.3723533","585958736.3896925","582532761.6983109","579206957.5454156","575260672.6442728","571541320.6489758","568132420.2074347","564523335.891475","560990762.9849354","558645721.9707958","555795556.970848","552654515.4658777","548493453.4909178","544373695.947408","541380766.1970443","539045531.8514996","537311718.6096077","535399270.48106575","534148659.5477791","533350387.44607544","532388817.2504446","531026225.883034","529317210.183169","527799496.65247214","526192815.5042208","524751911.92371047","523686121.2816423","522639754.1585153","520560284.56171036","518264068.7506018","515421518.6648799","512202247.87259024","508879477.8311686","506717026.7815633"
"Floresta","Formação Florestal","","","419480035.45381916","418146502.10826266","415622174.6462388","413374085.2055203","411663740.1369815","410392310.45839155","408798388.6950824","406792373.7678975","404900128.97522557","402758159.2030598","399899635.195948","397318631.22385025","394947878.111904","392715737.6792459","390564587.2335598","388904430.38610893","386987316.9421168","384779816.90490425","381676995.70414156","378837452.2275685","376684423.0137886","375058277.16522396","373836901.98316616","372549597.99599606","371814329.8895656","371456068.4979273","370929955.0676025","370527547.3343985","369898527.4171061","369285027.2897892","368484479.13595057","367596240.40071434","366919339.0977102","366197633.75641185","364757521.8431953","363241547.59722346","361374227.0827707","359521106.1345732","357848580.8585592","356668483.78221554"
"Floresta","Restinga Arbórea","","","659839.9172292823","651161.8605428868","640341.6008003391","632447.4781230671","625644.049288997","622158.5448151459","619177.6209776294","612782.5112939492","612220.6877306823","611972.6546704769","610934.532865902","609022.2415745606","606255.6021065719","602371.314899045","600173.3657550039","599616.8942501551","599379.92548407","598774.483413458","596718.6791894174","595601.8316695357","597501.4188911018","598307.6679513211","601190.9882898123","600495.7224184916","601915.0315986007","602840.312754278","606524.4699834293","607507.1067763546","605658.1881846209","601960.9310925761","605021.0377407774","604790.2783083497","605846.5418881584","606613.6432239625","608823.0942722963","607794.9105590824","605348.71854312","604221.5241260704","604551.8950833898","601836.2833426399"
"Floresta","Floresta Alagável","","","40612908.38032721","40462753.22718009","40328853.001100376","40172368.74796178","39967438.91763475","39912338.11291412","39794457.87987728","39684513.667942524","39555315.834316276","39490558.92683526","39335894.0908599","39118910.64879176","38990267.72538371","38817672.47611787","38572415.87277812","38825701.549488194","38817761.103827216","38788485.576876864","38759075.57610727","38703181.31364641","38709574.18670954","38697692.6350403","38707739.89588594","38677379.74627868","38625949.62124041","38632942.252398774","38649195.68333375","38654436.91302538","38691393.252778836","38688242.67709663","38664864.11675208","38604971.13938692","38593287.404631644","38609599.40682054","38573080.45842327","38574288.73030371","38479914.10724295","38239067.236012235","38091306.749850124","38252233.193859264"
"Floresta","Mangue","","","1008484.3383435177","1010245.1072523356","1008036.9740700435","1013163.8469358531","1017801.1680302651","1023736.8161573162","1025276.8962329811","1024864.2155934577","1024900.3707986639","1026847.8853927158","1030905.7952689582","1032309.5977595387","1031668.3416741528","1026694.4006837418","1023786.4854295575","1032813.6492644598","1034603.1481063203","1036795.7326233796","1037710.2496023711","1038798.7989132773","1037100.958899523","1036050.3043996866","1034789.6708029439","1034911.2793302778","1037801.1731465972","1039404.5075697835","1042487.4549684951","1041357.7881339574","1041409.4109704974","1045113.15701269","1040979.0458690929","1037922.7210712278","1034731.2107268322","1034945.7808234704","1037906.335232058","1035555.4125880746","1041925.9237873043","1038848.7121041175","1049836.4112227906","1048398.6489932295"
"Floresta","Formação Savânica","","","147511644.05801222","145885192.01985547","144357568.94191825","143356507.95171836","142107907.7546061","140780153.3031499","139534029.280183","137844202.22696507","136440195.83023977","135319418.87545747","134383303.0293301","133462446.93699977","132556350.42636625","131360860.02052847","130229800.02741286","129283159.49168399","128356495.85131352","127450642.7680597","126422953.28187715","125198661.77561025","124352166.61875558","123655204.07888424","123131096.07146282","122536885.73704225","122068663.8322278","121619131.8754253","121160654.57455634","120195376.74069974","119080221.91412897","118179152.59748104","117397472.16790827","116907987.38422963","116532917.02668545","116190961.57123546","115582952.8305874","114804882.09992753","113920102.83253586","112799004.2657746","111285201.91645305","110146074.87315257"
"Vegetação Herbácea e Arbustiva","","","","53122649.86665152","54473171.60208457","53676654.41731974","51674472.246142164","51833195.99896323","52507691.87670317","50818850.649285674","51289134.44652087","50950919.38989241","51936688.54063371","50532533.11382456","50858479.02548684","50379112.14013715","51146778.871940054","49899396.89550598","51097784.27740253","51439048.89285616","50785988.53684332","50939382.018216036","50886253.840927854","50454253.52803998","49750961.9653955","49455655.08546038","49424713.80237742","49749676.26587249","49702687.13434016","48822908.16293225","49349010.43961954","49092430.27242577","48313871.82909942","48843059.8050293","48958459.98272511","48465277.863155246","47871718.52247579","48060060.61479331","48224474.75199547","47878498.362760454","46526301.72991811","46501317.51066468","46595907.25062398"
"Vegetação Herbácea e Arbustiva","Formação Campestre","","","28172583.67505922","30142339.582071573","29090825.41369114","27441786.278271426","27046878.66181226","29636426.009191766","27861585.725060247","28318089.267776348","28300377.96011009","29971186.111572806","27358034.688875612","28125477.57607255","27008887.378299426","29390384.533464506","28140138.368045986","28010471.81247288","29708645.712139174","27907755.15849465","27927436.617474116","28231144.062780064","28418105.23869643","26238859.995282385","26093707.90197778","25955492.960382037","28315279.869586945","27196433.136693142","24715484.162656415","28341521.309654757","26998608.379546672","25126625.279616013","26378276.12422136","25810190.52038883","25895781.301591933","23712419.37921242","25899474.268049963","27321223.296219617","27050626.04583475","26188126.513963614","24678870.023766823","26622742.150401942"
"Vegetação Herbácea e Arbustiva","Restinga Herbácea","","","657173.2337026817","658367.3349141052","648442.2522939204","640985.9406987585","638973.4438228608","634862.1752952277","628402.4338809067","626273.289261195","623317.91128033","619407.4887241832","615593.8939637606","615409.6128061868","620971.6608571631","624047.3755284871","622655.2920613578","623492.4226289883","623456.332506881","619386.0492756846","622212.851913513","632271.1114198219","634842.4152182562","635143.9759582262","631309.2395521858","628159.0935947042","625343.1639079426","620558.5876809715","618771.4689636548","619812.9006015842","624030.2527404458","629421.1786111571","630129.5728246302","631938.0581713349","631756.1817039533","632425.8191805722","627516.088076696","626420.14495586","621594.6929182374","616409.2611728616","617458.6876812576","616320.3308939474"
"Vegetação Herbácea e Arbustiva","Campo Alagado e Área Pantanosa","","","22564011.693622053","21944104.181370012","22209038.684361596","21862577.645278547","22421390.477981888","20510328.865404025","20602604.064349566","20618995.03814098","20299204.852594994","19618320.108207654","20831588.598094843","20391192.86463883","21022639.083956372","19402829.33677732","19404803.069898993","20729233.94631076","19371070.242937215","20522719.06309203","20654016.587152794","20287277.90686546","19665156.868807368","21141062.624001928","20996529.798276275","21110224.345212046","19079128.519321226","20156334.73959381","21761650.486497276","18664350.748809423","19748485.982395634","20836542.70946097","20112931.10859961","20794008.395844046","20216102.63622152","21806155.82563504","19813629.49477921","18558207.0526596","18487474.548626944","18002844.65533153","19483905.686559312","17627522.968612444"
